,I,II,III,IV,V,VI
1,0–6,0–6,0–6,0–6,0–6,0–6
2,0–6,0–6,0–6,0–6,0–6,1–7
3,0–6,0–6,0–6,0–6,2–8,3–9
4,0–6,0–6,0–6,2–8,4–10,6–12
5,0–6,0–6,1–7,4–10,6–12,9–15
6,0–6,1–7,2–8,6–12,9–15,12–18
7,0–6,2–8,4–10,8–14,12–18,15–21
8,0–6,4–10,6–12,10–16,15–21,18–24
9,4–10,6–12,8–14,12–18,18–24,21–27
10,6–12,8–14,10–16,15–21,21–27,24–30
11,8–14,10–16,12–18,18–24,24–30,27–33
12,10–16,12–18,15–21,21–27,27–33,30–37
13,12–18,15–21,18–24,24–30,30–37,33–41
14,15–21,18–24,21–27,27–33,33–41,37–46
15,18–24,21–27,24–30,30–37,37–46,41–51
16,21–27,24–30,27–33,33–41,41–51,46–57
17,24–30,27–33,30–37,37–46,46–57,51–63
18,27–33,30–37,33–41,41–51,51–63,57–71
19,30–37,33–41,37–46,46–57,57–71,63–78
20,33–41,37–46,41–51,51–63,63–78,70–87
21,37–46,41–51,46–57,57–71,70–87,77–96
22,41–51,46–57,51–63,63–78,77–96,84–105
23,46–57,51–63,57–71,70–87,84–105,92–115
24,51–63,57–71,63–78,77–96,92–115,100–125
25,57–71,63–78,70–87,84–105,100–125,110–137
26,63–78,70–87,78–97,92–115,110–137,120–150
27,70–87,78–97,87–108,100–125,120–150,130–162
28,78–97,87–108,97–121,110–137,130–162,140–175
29,87–108,97–121,108–135,121–151,140–175,151–188
30,97–121,108–135,121–151,135–168,151–188,168–210
31,108–135,121–151,135–168,151–188,168–210,188–235
32,121–151,135–168,151–188,168–210,188–235,210–262
33,135–168,151–188,168–210,188–235,210–262,235–293
34,151–188,168–210,188–235,210–262,235–293,262–327
35,168–210,188–235,210–262,235–293,262–327,292–365
36,188–235,210–262,235–293,262–327,292–365,324–405
37,210–262,235–293,262–327,292–365,324–405,360–life
38,235–293,262–327,292–365,324–405,360–life,360–life
39,262–327,292–365,324–405,360–life,360–life,360–life
40,292–365,324–405,360–life,360–life,360–life,360–life
41,324–405,360–life,360–life,360–life,360–life,360–life
42,360–life,360–life,360–life,360–life,360–life,360–life
43,life,life,life,life,life,life