circdist,name
1,Dist of Columbia
2,Maine
3,Massachusetts
4,New Hampshire
5,Puerto Rico
6,Rhode Island
7,Connecticut
8,New York East
9,New York North
10,New York South
11,New York West
12,Vermont
13,Delaware
14,New Jersey
15,Pennsylvania East
16,Pennsylvania Mid
17,Pennsylvania West
18,Virgin Islands
19,Maryland
20,N Carolina East
21,N Carolina Mid
22,N Carolina West
23,South Carolina
24,Virginia East
25,Virginia West
26,W Virginia North
27,W Virginia South
28,Louisiana East
29,Louisiana Middle
30,Louisiana West
31,Mississippi North
32,Mississippi South
33,Texas East
34,Texas North
35,Texas South
36,Texas West
37,Kentucky East
38,Kentucky West
39,Michigan East
40,Michigan West
41,Ohio North
42,Ohio South
43,Tennessee East
44,Tennessee Mid
45,Tennessee West
46,Illinois Cent
47,Illinois North
48,Illinois South
49,Indiana North
50,Indiana South
51,Wisconsin East
52,Wisconsin West
53,Arkansas East
54,Arkansas West
55,Iowa North
56,Iowa South
57,Minnesota
58,Missouri East
59,Missouri West
60,Nebraska
61,North Dakota
62,South Dakota
63,Alaska
64,Arizona
65,California Central
66,California East
67,California North
68,California South
69,Guam
70,Hawaii
71,Idaho
72,Montana
73,Nevada
74,N Mariana Islands
75,Oregon
76,Washington East
77,Washington West
78,Colorado
79,Kansas
80,New Mexico
81,Oklahoma East
82,Oklahoma North
83,Oklahoma West
84,Utah
85,Wyoming
86,Alabama Mid
87,Alabama North
88,Alabama South
89,Florida Mid
90,Florida North
91,Florida South
92,Georgia Mid
93,Georgia North
94,Georgia South